,Name,ID,Status,Class,Mass (g),Fall,Year,Latitude,Longitude,GeoLocation
7453,Dhofar 306,7089.0,Valid,Lunar (anorth),12.86,Found,2001.0,19.32833,54.785,"(19.328330, 54.785000)"
7454,Dhofar 307,7090.0,Valid,Lunar (anorth),50.0,Found,2001.0,19.32833,54.78167,"(19.328330, 54.781670)"
7455,Dhofar 308,7091.0,Valid,Lunar (anorth),2.0,Found,2001.0,18.40333,54.15,"(18.403330, 54.150000)"
7456,Dhofar 309,7092.0,Valid,Lunar (anorth),81.3,Found,2002.0,19.32667,54.78833,"(19.326670, 54.788330)"
7457,Dhofar 310,7093.0,Valid,Lunar (anorth),10.8,Found,2002.0,19.32833,54.785,"(19.328330, 54.785000)"
7458,Dhofar 311,7094.0,Valid,Lunar (anorth),4.0,Found,2001.0,19.32667,54.78333,"(19.326670, 54.783330)"
7459,Dhofar 312,7095.0,Valid,Acapulcoite,354.0,Found,2001.0,18.98833,54.605,"(18.988330, 54.605000)"
7460,Dhofar 313,7096.0,Valid,H5,200.0,Found,2001.0,18.45167,54.03167,"(18.451670, 54.031670)"
7461,Dhofar 314,7097.0,Valid,L6,501.0,Found,2001.0,19.31833,54.73,"(19.318330, 54.730000)"
7462,Dhofar 315,7098.0,Valid,H5,411.25,Found,2001.0,19.35333,54.825,"(19.353330, 54.825000)"
7463,Dhofar 316,7099.0,Valid,L6,3215.0,Found,2001.0,19.155,54.78667,"(19.155000, 54.786670)"
7464,Dhofar 317,7100.0,Valid,L5,2897.0,Found,2001.0,18.58833,54.01833,"(18.588330, 54.018330)"
7465,Dhofar 318,7101.0,Valid,L6,522.0,Found,2001.0,18.18,54.175,"(18.180000, 54.175000)"
7466,Dhofar 319,7102.0,Valid,H5,416.0,Found,2000.0,18.57,54.28667,"(18.570000, 54.286670)"
7467,Dhofar 320,7103.0,Valid,L6,413.0,Found,2001.0,19.03833,54.61167,"(19.038330, 54.611670)"
7468,Dhofar 321,7104.0,Valid,H4,594.0,Found,2001.0,18.34833,54.28667,"(18.348330, 54.286670)"
7469,Dhofar 322,7105.0,Valid,H5,658.0,Found,2000.0,18.33667,54.22167,"(18.336670, 54.221670)"
7470,Dhofar 323,7106.0,Valid,H5,688.0,Found,2001.0,18.21833,54.10667,"(18.218330, 54.106670)"
7471,Dhofar 324,7107.0,Valid,H6,448.0,Found,2001.0,18.90333,54.57833,"(18.903330, 54.578330)"
7472,Dhofar 325,7108.0,Valid,L3.5,584.0,Found,2001.0,18.48167,54.135,"(18.481670, 54.135000)"
7473,Dhofar 326,7109.0,Valid,H5,618.0,Found,2000.0,19.03333,54.515,"(19.033330, 54.515000)"
7474,Dhofar 327,7110.0,Valid,L6,421.0,Found,2001.0,18.38833,54.13333,"(18.388330, 54.133330)"
7475,Dhofar 328,7111.0,Valid,LL5,536.0,Found,2000.0,18.98,54.405,"(18.980000, 54.405000)"
7476,Dhofar 329,7112.0,Valid,H6,475.0,Found,2000.0,18.91833,54.57833,"(18.918330, 54.578330)"
